VAR;LOC;ID;1:F;1:Fm';1:Temp;1:Y (II);1:Fo';1:qP;1:qN;1:qL;1:NPQ;1:Y (NO);1:Y (NPQ);1:Fo;1:Fm;1:Fv/Fm
CBD_P;b;L242;56;145;14.8;0.614;32;0.788;0.026;0.45;0.021;0.378;0.008;32;148;0.784
CBD_P;c;L243;40;97;15;0.588;25;0.792;0.294;0.495;0.33;0.31;0.102;27;129;0.791
CBD_P;d;L244;40;110;15;0.636;39;0.986;0.014;0.961;0.009;0.36;0.004;39;111;0.649
CBD_P;a;L245;38;103;14.8;0.631;25;0.833;0.133;0.548;0.126;0.328;0.041;26;116;0.776
CBD_V;b;L246;61;157;15.2;0.611;33;0.774;0.016;0.419;0.013;0.384;0.005;33;159;0.792
CBD_V;c;L247;52;150;15.2;0.653;33;0.838;0.008;0.532;0.007;0.344;0.003;33;151;0.781
CBD_V;d;L248;45;137;15.2;0.672;29;0.852;0.018;0.549;0.015;0.324;0.004;29;139;0.791
CBD_V;a;L249;55;154;15.3;0.643;31;0.805;0.024;0.454;0.019;0.35;0.007;31;157;0.803
CBD_C;b;L250;47;117;13.1;0.598;26;0.769;0.011;0.425;0.009;0.398;0.004;26;118;0.78
CBD_C;c;L251;49;131;13.1;0.626;30;0.812;0;0.497;0;0.374;0;30;131;0.771
CBD_C;d;L252;52;141;14.1;0.631;31;0.809;0.035;0.482;0.028;0.359;0.01;31;145;0.786
CBD_C;a;L253;48;136;14.1;0.647;34;0.863;0.029;0.611;0.022;0.345;0.008;34;139;0.755
CBD_P;b;L254;61;152;12.8;0.599;37;0.791;0.034;0.48;0.026;0.391;0.01;37;156;0.763
CBD_P;c;L255;54;129;12.9;0.581;36;0.806;0.041;0.537;0.031;0.406;0.013;36;133;0.729
CBD_P;d;L256;51;119;14.3;0.571;32;0.782;0.044;0.491;0.034;0.415;0.014;32;123;0.74
CBD_P;a;L257;52;131;14.1;0.603;36;0.832;0.05;0.576;0.038;0.382;0.015;36;136;0.735
CBD_V;b;L258;49;128;13.3;0.617;30;0.806;0.039;0.493;0.031;0.371;0.012;30;132;0.773
CBD_V;c;L259;49;138;13.5;0.645;31;0.832;0.045;0.526;0.036;0.343;0.012;31;143;0.783
CBD_V;d;L260;45;123;14.1;0.634;29;0.83;0.041;0.535;0.033;0.354;0.012;29;127;0.772
CBD_V;a;L261;44;110;14.1;0.6;26;0.786;0.012;0.464;0.009;0.396;0.004;26;111;0.766
CBD_C;b;L262;40;106;15.2;0.623;30;0.868;0.026;0.651;0.019;0.37;0.007;30;108;0.722
CBD_C;c;L263;44;118;15.5;0.627;31;0.851;0.022;0.6;0.017;0.367;0.006;31;120;0.742
CBD_C;d;L264;45;109;15.5;0.587;25;0.762;0.023;0.423;0.018;0.405;0.008;25;111;0.775
CBD_C;a;L265;43;91;15.2;0.527;28;0.762;0.045;0.496;0.033;0.457;0.016;28;94;0.702
CBD_P;b;L266;56;126;15.5;0.556;35;0.769;0;0.481;0;0.444;0;35;126;0.722
CBD_P;c;L267;54;125;15;0.568;32;0.763;0.061;0.452;0.048;0.412;0.02;32;131;0.756
CBD_P;d;L268;42;86;15.7;0.512;27;0.746;0.033;0.48;0.023;0.477;0.011;27;88;0.693
CBD_P;a;L269;46;105;15.7;0.562;30;0.787;0.038;0.513;0.029;0.426;0.012;30;108;0.722
CBD_V;b;L270;47;126;15.5;0.627;32;0.84;0.051;0.572;0.04;0.359;0.014;32;131;0.756
CBD_V;c;L271;35;94;15.3;0.628;27;0.881;0.029;0.68;0.021;0.365;0.007;27;96;0.719
CBD_V;d;L272;51;108;15.9;0.528;32;0.75;0;0.471;0;0.472;0;32;108;0.704
